X Z Y
719.022438 1298.582875 -848.189816
719.162721 1299.110839 -848.717770
719.302871 1299.638302 -849.245244
719.442892 1300.165280 -849.772237
719.582783 1300.691766 -850.298752
719.722546 1301.217773 -850.824789
719.862208 1301.743401 -851.350337
720.001712 1302.268431 -851.875421
720.141086 1302.792977 -852.400030
720.280358 1303.317135 -852.924155
720.419503 1303.840817 -853.447805
720.558520 1304.364014 -853.970984
720.697404 1304.886712 -854.493694
720.835547 1305.406625 -855.016193
720.958346 1305.868784 -855.544696
721.058664 1306.246337 -856.082349
721.140076 1306.552736 -856.627763
721.204975 1306.796989 -857.180024
721.253791 1306.980709 -857.739055
721.288465 1307.111207 -858.304110
721.309514 1307.190428 -858.875054
721.317007 1307.218628 -859.451946
721.309549 1307.190561 -860.035489
721.287620 1307.108028 -860.625565
721.249837 1306.965829 -861.222885
721.194339 1306.756959 -861.828386
721.118052 1306.469849 -862.443568
721.016334 1306.087025 -863.070667
720.881571 1305.579838 -863.713309
720.709213 1304.931158 -864.373789
720.533061 1304.268196 -865.036823
720.356615 1303.604131 -865.700818
720.179941 1302.939209 -866.365747
720.003012 1302.273327 -867.031626
719.825852 1301.606574 -867.698445
719.648403 1300.938733 -868.366233
719.470721 1300.270014 -869.034966
719.292785 1299.600342 -869.704655
719.114587 1298.929682 -870.375308
718.936134 1298.258061 -871.046923
718.757419 1297.585459 -871.719504
718.578474 1296.911988 -872.393040
718.399239 1296.237424 -873.067561
718.219749 1295.561901 -873.743053
718.040026 1294.885503 -874.419506
717.860014 1294.208020 -875.096950
717.679769 1293.529654 -875.775361
717.499241 1292.850226 -876.454764
717.318451 1292.169811 -877.135153
717.137426 1291.488514 -877.816514
716.956118 1290.806148 -878.498876
716.774548 1290.122797 -879.182229
716.592689 1289.438362 -879.866589
716.410597 1288.753047 -880.551930
716.228247 1288.066761 -881.238268
716.045610 1287.379393 -881.925618
715.862712 1286.691048 -882.613970
715.679551 1286.001710 -883.303328
715.496099 1285.311277 -883.993708
715.312388 1284.619867 -884.685095
715.128419 1283.927489 -885.377492
714.944187 1283.234119 -886.070903
714.759668 1282.539670 -886.765344
714.574887 1281.844237 -887.460802
714.389816 1281.147710 -888.157296
